Fecha,Provincia,Tecnología,Accesos
2019-01-01,Santa Fe,Dial up,227.0
2019-01-01,Santiago Del Estero,Dial up,2.0
2019-01-01,Tierra Del Fuego,Dial up,544.0
2019-01-01,Tucumán,Dial up,32.0
2018-10-01,Buenos Aires,Dial up,10104.0
2018-10-01,Capital Federal,Dial up,3443.0
2018-10-01,Catamarca,Dial up,9.0
2018-10-01,Chaco,Dial up,13.0
2018-10-01,Chubut,Dial up,1518.0
2018-10-01,Córdoba,Dial up,105.0
2018-10-01,Corrientes,Dial up,10.0
2018-10-01,Entre Ríos,Dial up,44.0
2018-10-01,Formosa,Dial up,0.0
2018-10-01,Jujuy,Dial up,1.0
2018-10-01,La Pampa,Dial up,268.0
2018-10-01,La Rioja,Dial up,18.0
2018-10-01,Mendoza,Dial up,1322.0
2018-10-01,Misiones,Dial up,0.0
2018-10-01,Neuquén,Dial up,2056.0
2018-10-01,Río Negro,Dial up,915.0
2018-10-01,Salta,Dial up,1.0
2018-10-01,San Juan,Dial up,564.0
2018-10-01,San Luis,Dial up,291.0
2018-10-01,Santa Cruz,Dial up,325.0
2018-10-01,Santa Fe,Dial up,229.0
2018-10-01,Santiago Del Estero,Dial up,2.0
2018-10-01,Tierra Del Fuego,Dial up,544.0
2018-10-01,Tucumán,Dial up,32.0
2018-07-01,Buenos Aires,Dial up,10563.0
2018-07-01,Capital Federal,Dial up,6686.0
2018-07-01,Catamarca,Dial up,11.0
2018-07-01,Chaco,Dial up,12.0
2018-07-01,Chubut,Dial up,2426.0
2018-07-01,Córdoba,Dial up,94.0
2018-07-01,Corrientes,Dial up,11.0
2018-07-01,Entre Ríos,Dial up,48.0
2018-07-01,Formosa,Dial up,0.0
2018-07-01,Jujuy,Dial up,1.0
2018-07-01,La Pampa,Dial up,244.0
2018-07-01,La Rioja,Dial up,17.0
2018-07-01,Mendoza,Dial up,1484.0
2018-07-01,Misiones,Dial up,0.0
2018-07-01,Neuquén,Dial up,2005.0
2018-07-01,Río Negro,Dial up,1059.0
2018-07-01,Salta,Dial up,1.0
2018-07-01,San Juan,Dial up,658.0
2018-07-01,San Luis,Dial up,300.0
2018-07-01,Santa Cruz,Dial up,434.0
2018-07-01,Santa Fe,Dial up,217.0
2018-07-01,Santiago Del Estero,Dial up,2.0
2018-07-01,Tierra Del Fuego,Dial up,508.0
2018-07-01,Tucumán,Dial up,31.0
2018-04-01,Buenos Aires,Dial up,10565.0
2018-04-01,Capital Federal,Dial up,6688.0
2018-04-01,Catamarca,Dial up,11.0
2018-04-01,Chaco,Dial up,12.0
2018-04-01,Chubut,Dial up,2427.0
2018-04-01,Córdoba,Dial up,94.0
2018-04-01,Corrientes,Dial up,11.0
2018-04-01,Entre Ríos,Dial up,48.0
2018-04-01,Jujuy,Dial up,1.0
2018-04-01,La Pampa,Dial up,244.0
2018-04-01,La Rioja,Dial up,17.0
2018-04-01,Mendoza,Dial up,1484.0
2018-04-01,Neuquén,Dial up,2006.0
2018-04-01,Río Negro,Dial up,1059.0
2018-04-01,Salta,Dial up,1.0
2018-04-01,San Juan,Dial up,658.0
2018-04-01,San Luis,Dial up,300.0
2018-04-01,Santa Cruz,Dial up,435.0
2018-04-01,Santa Fe,Dial up,309.0
2018-04-01,Santiago Del Estero,Dial up,2.0
2018-04-01,Tierra Del Fuego,Dial up,508.0
2018-04-01,Tucumán,Dial up,31.0
2018-01-01,Buenos Aires,Dial up,10564.0
2018-01-01,Capital Federal,Dial up,6688.0
2018-01-01,Catamarca,Dial up,11.0
2018-01-01,Chaco,Dial up,12.0
2018-01-01,Chubut,Dial up,2427.0
2018-01-01,Córdoba,Dial up,101.0
2018-01-01,Corrientes,Dial up,11.0
2018-01-01,Entre Ríos,Dial up,48.0
2018-01-01,Formosa,Dial up,0.0
2018-01-01,Jujuy,Dial up,1.0
2018-01-01,La Pampa,Dial up,396.0
2018-01-01,La Rioja,Dial up,17.0
2018-01-01,Mendoza,Dial up,1484.0
2018-01-01,Misiones,Dial up,0.0
2018-01-01,Neuquén,Dial up,2006.0
2018-01-01,Río Negro,Dial up,1062.0
2018-01-01,Salta,Dial up,1.0
2018-01-01,San Juan,Dial up,658.0
